Coordenadas Geográficas	Cidade, Estado, País	Specific photovoltaic power output
-28.0233°,-048.6222°	Rua César Gasola Lopes, Garopaba, Santa Catarina, Brazil	1413.0
-26.0269°,-048.855°	Rua Duque de Caxias, Garuva, Santa Catarina, Brazil	1161.3
-26.931802°,-048.959341°	Rua Arnoldo Schramm, Gaspar, Santa Catarina, Brazil	1307.0
-26.427778°,-051.315833°	Rua Paulo Oliquevicz, General Carneiro, Paraná, Brazil	1395.3
-27.315°,-048.5589°	Avenida Bela Vista, Governador Celso Ramos, Santa Catarina, Brazil	1391.6
-27.085785°,-048.986968°	Rua Carlos Nuss, Guabiruba, Santa Catarina, Brazil	1272.3
-26.597978°,-053.52148°	Rua Primeiro de Maio, Guaraciaba, Santa Catarina, Brazil	1549.5
-26.473521°,-049.003449°	Rua Padre Mathias Maria Stein, Guaramirim, Santa Catarina, Brazil	1245.7
-25.9°,-048.566667°	Avenida Brejatuba, Guaratuba, Paraná, Brazil	1305.1
-26.3853°,-053.5278°	Rua São Paulo, Guarujá do Sul, Santa Catarina, Brazil	1568.1
-27.15°,-048.5°	Rua Baleia Jubarte, Bombinhas, Santa Catarina, Brazil	1416.9
-32.026876°,-053.395343°	Rua Júlio de Castilhos, Herval, Rio Grande do Sul, Brazil	1498.0
-27.17951°,-051.239123°	Rua Oreste Felipe, Ibiam, Santa Catarina, Brazil	1501.1
-27.116667°,-051.4°	Rodovia Engenheiro Linneu Luiz Bonato, Ibicaré, Santa Catarina, Brazil	1517.3
-27.066667°,-049.516667°	unnamed road, Ibirama, Santa Catarina, Brazil	1328.4
-28.713333°,-049.3°	unnamed road, Içara, Santa Catarina, Brazil	1422.1
-26.899818°,-048.827298°	Rua 21 de Junho, Ilhota, Santa Catarina, Brazil	1310.0
-28.35°,-048.816667°	Rua Diogo Teixeira de Medeiros, Imaruí, Santa Catarina, Brazil	1419.2
-28.233333°,-048.666667°	Rua Dorlin Nunes, Imbituba, Santa Catarina, Brazil	1442.7
-24.867°,-051°	Rodovia Jean Maurice Faivre, Cândido de Abreu, Paraná, Brazil	1520.3
-26.897404°,-049.231666°	Rua Marechal Floriano Peixoto, Indaial, Santa Catarina, Brazil	1318.6
-27.016667°,-051.25°	unnamed road, Iomerê, Santa Catarina, Brazil	1481.1
-27.403748°,-051.777439°	Rua Independência, Ipira, Santa Catarina, Brazil	1525.1
-26.987956°,-053.535003°	Rua Sete de Setembro, Iporã do Oeste, Santa Catarina, Brazil	1543.8
-26.635475°,-052.455429°	unnamed road, Ipuaçu, Santa Catarina, Brazil	1562.2
-27.076286°,-052.136169°	Rua Tiradentes, Ipumirim, Santa Catarina, Brazil	1511.2
-26.833333°,-053.25°	unnamed road, Iraceminha, Santa Catarina, Brazil	1521.4
-27.025°,-051.901944°	Rua General Ozório, Irani, Santa Catarina, Brazil	1549.7
-26.655833°,-052.891944°	Rua João Beux Sobrinho, Irati, Santa Catarina, Brazil	1524.7
-26.238721°,-050.802476°	Avenida 22 de Julho, Irineópolis, Santa Catarina, Brazil	1353.6
-27.266667°,-052.316667°	unnamed road, Itá, Santa Catarina, Brazil	1528.2
-26.335833°,-049.905833°	Avenida Tancredo Neves, Itaiópolis, Santa Catarina, Brazil	1379.6
-26.9°,-048.666667°	Avenida Coronel Eugênio Müller, Itajaí, Santa Catarina, Brazil	1372.9
-27.091095°,-048.611986°	Avenida Governador Celso Ramos, Itapema, Santa Catarina, Brazil	1352.3
-27.167936°,-053.712951°	Rua São José, Itapiranga, Santa Catarina, Brazil	1502.2
-26.116944°,-048.615833°	Rodovia Governador Pedro Ivo Campos, Itapoá, Santa Catarina, Brazil	1302.8
-27.416667°,-049.6°	Rua Raulino Kretzer, Ituporanga, Santa Catarina, Brazil	1323.1
-27.17304°,-051.737921°	Rua São Roque, Jaborá, Santa Catarina, Brazil	1527.0
-29°,-049.766667°	Rua Irmãos Trevisol, Jacinto Machado, Santa Catarina, Brazil	1379.7
-28.615°,-049.0256°	Rodovia Arno Arnaldo Nápoli, Jaguaruna, Santa Catarina, Brazil	1455.8
-26.485025°,-049.066769°	Rua Bernardo Dornbusch, Jaraguá do Sul, Santa Catarina, Brazil	1268.7
-26.721105°,-052.860013°	Avenida Getúlio Vargas, Jardinópolis, Santa Catarina, Brazil	1532.8
-27.173293°,-051.509404°	Rua Coronel Artur Pereira, Joaçaba, Santa Catarina, Brazil	1505.6
-26.3204°,-048.8437°	Rua Joaquim André de Sá, Joinville, Santa Catarina, Brazil	1244.1
-26.916667°,-049.666667°	unnamed road, José Boiteux, Santa Catarina, Brazil	1299.0
-26.450001°,-052.666698°	unnamed road, Galvão, Santa Catarina, Brazil	1565.0
-27.26188°,-051.55704°	Rua Trinta e Um de Março, Lacerdópolis, Santa Catarina, Brazil	1509.8
-27.81648°,-050.326778°	Rua Frei Rogério, Lages, Santa Catarina, Brazil	1442.3
-28.482618°,-048.781498°	Rua Tenente Bessa, Laguna, Santa Catarina, Brazil	1453.3
-27.216667°,-049.75°	Beco S.D. 30, Laurentino, Santa Catarina, Brazil	1320.8
-28.389659°,-049.392421°	Rua 20 de Janeiro, Lauro Müller, Santa Catarina, Brazil	1361.8
-26.933333°,-050.7°	unnamed road, Lebon Régis, Santa Catarina, Brazil	1475.1
-27.507456°,-049.28645°	Rua Jorge Lacerda, Leoberto Leal, Santa Catarina, Brazil	1315.2
-27.052338°,-052.085238°	Rua Padre Isidoro Benjamin Moro, Lindóia do Sul, Santa Catarina, Brazil	1523.1
-27.166524°,-049.541731°	Rua Oswaldo Schroeder, Lontras, Santa Catarina, Brazil	1331.9
-26.711162°,-048.912998°	Rua Professor Simão Hess, Luiz Alves, Santa Catarina, Brazil	1246.5
-27.116667°,-051.466667°	unnamed road, Luzerna, Santa Catarina, Brazil	1499.4
-26.85°,-051.383333°	unnamed road, Macieira, Santa Catarina, Brazil	1486.3
-26.116667°,-049.8°	Rua Pereira Oliveira, Mafra, Santa Catarina, Brazil	1378.4
-27.418132°,-048.953278°	Rodovia Walter Vicente Gomes, Major Gercino, Santa Catarina, Brazil	1276.4
-26.316667°,-050.333333°	Rodovia Aroldo Carneiro de Carvalho, Major Vieira, Santa Catarina, Brazil	1360.5
-28.847516°,-049.454739°	Avenida Getúlio Vargas, Maracajá, Santa Catarina, Brazil	1418.6
-26.760501°,-053.174787°	Avenida Euclides da Cunha, Maravilha, Santa Catarina, Brazil	1545.8
-26.610872°,-049.009214°	Rua 25 de Julho, Massaranduba, Santa Catarina, Brazil	1287.3
-26.45°,-051.15°	unnamed road, Matos Costa, Santa Catarina, Brazil	1408.3
-28.831967°,-049.636583°	Rua Alberto Búrigo, Meleiro, Santa Catarina, Brazil	1383.5
-27.201199°,-050.067725°	Rua Alfredo Cordeiro, Mirim Doce, Santa Catarina, Brazil	1298.9
-28.77833°,-053.05528°	unnamed road, Quinze de Novembro, Rio Grande do Sul, Brazil	1550.5
-27.102578°,-053.399463°	Rua Guarani, Mondaí, Santa Catarina, Brazil	1515.4
-27.222778°,-050.979722°	Rodovia Carlos Pisani, Monte Carlo, Santa Catarina, Brazil	1484.5
-26.46112°,-050.228424°	Rua Coronel Otávio Xavier Rauen, Monte Castelo, Santa Catarina, Brazil	1369.7
-28.652303°,-049.210688°	Rua Vinte de Maio, Morro da Fumaça, Santa Catarina, Brazil	1422.8
-26.899471°,-048.655318°	Avenida Santos Dumont, Navegantes, Santa Catarina, Brazil	1385.3
-26.9025°,-052.9058°	Rua Anita Garibaldi, Nova Erechim, Santa Catarina, Brazil	1546.7
-26.9397°,-052.8122°	Rua Basílio Daniel, Nova Itaberaba, Santa Catarina, Brazil	1534.9
-27.286153°,-048.930107°	Rua Santo Inácio, Nova Trento, Santa Catarina, Brazil	1297.8
-28.637042°,-049.498366°	Rua Cônego Miguel Giacca, Nova Veneza, Santa Catarina, Brazil	1347.9
-26.448479°,-052.832146°	unnamed road, Novo Horizonte, Santa Catarina, Brazil	1553.5
-28.35°,-049.3°	Rua Augusto Baggio, Orleans, Santa Catarina, Brazil	1362.2
-27.5667°,-050.116699°	unnamed road, Palmeira, Santa Catarina, Brazil	1372.7
-27.331392°,-051.598818°	Rua João XXIII, Ouro, Santa Catarina, Brazil	1515.6
-26.6944°,-052.3119°	Rua Adriano Benedeti, Ouro Verde, Santa Catarina, Brazil	1554.6
-27.2522°,-052.4981°	SC-483, Paial, Santa Catarina, Brazil	1499.6
-27.916667°,-050.1°	Estrada da Casa de Pedra, Painel, Santa Catarina, Brazil	1481.3
-27.644444°,-048.667778°	Servidão Aurino Pierri, Palhoça, Santa Catarina, Brazil	1388.6
-26.3475°,-053.2783°	Avenida Crestani, Palma Sola, Santa Catarina, Brazil	1585.8
-10.184506°,-048.33466°	Tocantins, Palmas, Tocantins, Brazil	1632.8
-27.582778°,-050.158889°	Rua Elisário Lemos de Jesus, Palmeira, Santa Catarina, Brazil	1378.1
-27.071863°,-053.159463°	Rua Padre Anchieta, Palmitos, Santa Catarina, Brazil	1533.8
-26.405736°,-050.145705°	Rua Tenente Ary Rauen, Papanduva, Santa Catarina, Brazil	1360.5
-26.613889°,-053.671944°	Rodovia Ulysses Guimarães, Paraíso, Santa Catarina, Brazil	1552.0
-29.335°,-049.7228°	Rua Leonardo Truda, Torres, Rio Grande do Sul, Brazil	1475.1
-26.78°,-052.0594°	Rua Ângelo Dalla Vechia, Passos Maia, Santa Catarina, Brazil	1549.0
-28.435761°,-049.184622°	Rua Teodoro Zabot, Pedras Grandes, Santa Catarina, Brazil	1373.0
-26.769694°,-048.645852°	Rua Joaquim Antônio Simão, Penha, Santa Catarina, Brazil	1383.5
-27.373557°,-051.904537°	Rua José Bonifácio, Peritiba, Santa Catarina, Brazil	1523.4
-28.383333°,-048.883333°	unnamed road, Pescaria Brava, Santa Catarina, Brazil	1406.1
-08.981223°,-038.220234°	Rua da Matriz, Petrolândia, Pernambuco, Brazil	1658.5
-26.764538°,-048.671728°	Rua Norberto Bachmann, Balneário Piçarras, Santa Catarina, Brazil	1379.2
-26.838412°,-052.987101°	Avenida Brasília, Pinhalzinho, Santa Catarina, Brazil	1545.1
-27.046972°,-051.229585°	Avenida Marechal Castelo Branco, Pinheiro Preto, Santa Catarina, Brazil	1480.3
-27.45°,-051.8°	unnamed road, Piratuba, Santa Catarina, Brazil	1536.3
-27.0703°,-052.8656°	Avenida Brasil, Planalto Alegre, Santa Catarina, Brazil	1552.5
-26.740752°,-049.175942°	Rua XV de Novembro, Pomerode, Santa Catarina, Brazil	1263.2
-27.483804°,-050.378852°	Rua Rio do Sul, Ponte Alta, Santa Catarina, Brazil	1423.5
-27.158333°,-050.464444°	Rua Elídio Pereira, Ponte Alta do Norte, Santa Catarina, Brazil	1427.4
-26.866667°,-051.966667°	Estrada Rio do Mato, Ponte Serrada, Santa Catarina, Brazil	1556.5
-27.158154°,-048.553669°	Avenida Governador Celso Ramos, Porto Belo, Santa Catarina, Brazil	1401.3
-26.253423°,-051.079308°	Rua Alfredo Scultetos, Porto União, Santa Catarina, Brazil	1357.1
-27.25°,-049.95°	Marginal da BR-470, Pouso Redondo, Santa Catarina, Brazil	1329.3
-27.21935°,-051.811089°	Avenida 17 de Fevereiro, Presidente Castello Branco, Santa Catarina, Brazil	1513.3
-27.05°,-049.616667°	Rua Engenheiro Ehremberger, Presidente Getúlio, Santa Catarina, Brazil	1328.0
-27.2772°,-049.3903°	Avenida João XXIII, Presidente Nereu, Santa Catarina, Brazil	1306.9
-26.441944°,-053.597778°	unnamed road, Princesa, Santa Catarina, Brazil	1558.2
-26.727255°,-052.719885°	Avenida Coronel Ernesto Bertaso, Quilombo, Santa Catarina, Brazil	1537.9
-27.6725°,-049.0217°	Rua Vereador Engelberto Koester, Rancho Queimado, Santa Catarina, Brazil	1345.7
-26.898103°,-051.074701°	Rua do Comércio, Rio das Antas, Santa Catarina, Brazil	1464.2
-26.966667°,-050.15°	Rodovia Deputado João Bertoli, Rio do Campo, Santa Catarina, Brazil	1297.8
-27.194664°,-049.793435°	Rua 7 de Setembro, Rio do Oeste, Santa Catarina, Brazil	1315.5
-27.214455°,-049.643503°	Rua Dom Bosco, Rio do Sul, Santa Catarina, Brazil	1325.4
-26.738112°,-049.272563°	Avenida Tiradentes, Rio dos Cedros, Santa Catarina, Brazil	1274.5
-26.254538°,-049.518566°	Avenida dos Imigrantes, Rio Negrinho, Santa Catarina, Brazil	1356.6
-26.105833°,-049.797778°	Rua XV de Novembro, Rio Negro, Paraná, Brazil	1379.6
-27.866667°,-049.783333°	Rua Florinda Maria de Jesus, Rio Rufino, Santa Catarina, Brazil	1418.0
-27.069434°,-053.325263°	Rua Frederico Pfitzenmeier, Riqueza, Santa Catarina, Brazil	1514.3
-26.914404°,-049.364687°	Rua Barão do Rio Branco, Rodeio, Santa Catarina, Brazil	1270.5
-26.633333°,-053.316667°	unnamed road, Romelândia, Santa Catarina, Brazil	1542.8
-26.978183°,-050.004638°	Rua Luiz Bertoli, Salete, Santa Catarina, Brazil	1294.7
-26.605488°,-053.059033°	Rua Francisco Bosch, Saltinho, Santa Catarina, Brazil	1536.4
-26.904472°,-051.406856°	Rua João Domingos Cantu, Salto Veloso, Santa Catarina, Brazil	1489.6
-28.639811°,-049.125082°	Rua 27 de Setembro, Sangão, Santa Catarina, Brazil	1416.4
-26.96038°,-050.416306°	Avenida Leoberto Leal, Santa Cecília, Santa Catarina, Brazil	1422.2
-26.938647°,-053.61935°	Rua Cristóvão Colombo, Santa Helena, Santa Catarina, Brazil	1545.6
-29.1361°,-049.7°	unnamed road, Santa Rosa do Sul, Santa Catarina, Brazil	1417.8
-10.47°,-050.502778°	unnamed road, Santa Terezinha, Mato Grosso, Brazil	1633.1
-26.6189°,-053.2017°	Rua 12 de Maio, Santa Terezinha do Progresso, Santa Catarina, Brazil	1525.8
-26.6394°,-052.6847°	Linha Picolli, Santiago do Sul, Santa Catarina, Brazil	1544.5
-27.687778°,-048.778889°	Rua Vereador Dulfe V. da Silva, Santo Amaro da Imperatriz, Santa Catarina, Brazil	1330.5
-26.25°,-049.383333°	Avenida Nereu Ramos, São Bento do Sul, Santa Catarina, Brazil	1364.0
-26.47°,-052.9644°	unnamed road, São Bernardino, Santa Catarina, Brazil	1543.1
-22.016717°,-047.891971°	Rua Major José Ignácio, Jardim Santa Felícia, São Paulo, Brazil	1641.4
-27.266667°,-050.440556°	Rua Afonso Pena, São Cristóvão do Sul, Santa Catarina, Brazil	1430.3
-26.557778°,-052.531944°	Rua Getúlio Vargas, São Domingos, Santa Catarina, Brazil	1563.2
-26.242778°,-048.637778°	Rua Jorge Baggenstoss, São Francisco do Sul, Santa Catarina, Brazil	1268.1
-27.275833°,-048.848889°	Rua João José Dias Jr., São João Batista, Santa Catarina, Brazil	1324.6
-26.6178°,-048.7681°	Rua Prefeito José Acácio Delmonego, São João do Itaperiú, Santa Catarina, Brazil	1308.6
-27.099197°,-053.592704°	Rua Rio Pardo, São João do Oeste, Santa Catarina, Brazil	1517.8
-29.223446°,-049.806682°	Rua Manoel Amândio de Borba, São João do Sul, Santa Catarina, Brazil	1420.1
-28.294192°,-049.938923°	Rua Sebastião Furtado, São Joaquim, Santa Catarina, Brazil	1552.4
-27.662963°,-050.581452°	Rua Teodoro Corrêa de Melo, São José do Cerrito, Santa Catarina, Brazil	1442.1
-26.45523°,-053.507644°	Avenida Rio Grande do Sul, São José do Cedro, Santa Catarina, Brazil	1569.6
-27.662963°,-050.581452°	Rua Teodoro Corrêa de Melo, São José do Cerrito, Santa Catarina, Brazil	1442.1
-26.356544°,-052.850243°	Rua Rui Barbosa, São Lourenço do Oeste, Santa Catarina, Brazil	1589.2
-26.692074°,-053.255683°	Rua João Hugo Hoss, São Miguel da Boa Vista, Santa Catarina, Brazil	1539.9
-26.726395°,-053.517879°	Rua Duque de Caxias, São Miguel do Oeste, Santa Catarina, Brazil	1555.5
-27.565833°,-048.805°	Rua João Carlos Clasen, São Pedro de Alcântara, Santa Catarina, Brazil	1309.9
-26.925994°,-053.00479°	Avenida Brasil, Saudades, Santa Catarina, Brazil	1526.4
-26.407222°,-049.072778°	Rua Barão do Rio Branco, Schroeder, Santa Catarina, Brazil	1232.4
-27.157296°,-052.314524°	Rua Herculano Hercules Zanuzzo, Seara, Santa Catarina, Brazil	1510.4
-26.727674°,-053.043509°	Rua Vinte e Oito de Abril, Serra Alta, Santa Catarina, Brazil	1556.3
-28.598963°,-049.425534°	Avenida Municipal Prefeito Manoel Minelvina Garcia, Siderópolis, Santa Catarina, Brazil	1351.1
-29.1039°,-049.6289°	Avenida Quintino Manoel Domingos, Sombrio, Santa Catarina, Brazil	1449.1
-26.741123°,-052.969914°	Rodovia Sul Brasil, Sul Brasil, Santa Catarina, Brazil	1520.6
-27.1°,-049.983333°	unnamed road, Taió, Santa Catarina, Brazil	1301.8
-27.101908°,-051.246467°	Rua Sete de Setembro, Tangará, Santa Catarina, Brazil	1485.1
-26.686839°,-053.156985°	Avenida Felipe Baczinski, Tigrinhos, Santa Catarina, Brazil	1548.6
-27.240493°,-048.641373°	Rua 13 de Maio, Tijucas, Santa Catarina, Brazil	1361.7
-26.822778°,-049.271944°	Rua Germano Brandes Sênior, Timbó, Santa Catarina, Brazil	1303.0
-26.615°,-050.6742°	Rua João Granemann, Timbó Grande, Santa Catarina, Brazil	1375.9
-26.1064°,-050.3222°	Rua Prefeito Mery Seleme, Três Barras, Santa Catarina, Brazil	1371.0
-28.559279°,-049.147969°	Rua Governador Ivo Silveira, Treze de Maio, Santa Catarina, Brazil	1393.3
-27.001944°,-051.405833°	Rua Germânica, Treze Tílias, Santa Catarina, Brazil	1519.3
-27.30086°,-049.792257°	unnamed road, Trombudo Central, Santa Catarina, Brazil	1327.7
-28.476482°,-049.016995°	Rua Simeão Esmeraldino de Menezes, Tubarão, Santa Catarina, Brazil	1421.9
-26.971631°,-053.63585°	Rua São Miguel, Tunápolis, Santa Catarina, Brazil	1525.3
-28.925833°,-049.678889°	Rua Ângelo Andrea Scarabelot, Turvo, Santa Catarina, Brazil	1398.4
-26.763046°,-052.853037°	Rua Concórdia, União do Oeste, Santa Catarina, Brazil	1540.3
-28.015°,-049.591944°	Rua Cezário Amarante, Urubici, Santa Catarina, Brazil	1420.8
-27.956954°,-049.87453°	Rodovia das Araucárias, Urupema, Santa Catarina, Brazil	1427.9
-26.860689°,-052.155964°	Avenida 21 de Abril, Vargeão, Santa Catarina, Brazil	1558.5
-20.330526°,-046.36686°	Rua Ubirajara Lima, Vargem Bonita, Minas Gerais, Brazil	1590.6
-20.330526°,-046.36686°	Rua Ubirajara Lima, Vargem Bonita, Minas Gerais, Brazil	1590.6
-27.397°,-049.375051°	SC-486, Vidal Ramos, Santa Catarina, Brazil	1274.6
-27.008035°,-051.152297°	Rua Padre Anchieta, Videira, Santa Catarina, Brazil	1469.6
-26.880136°,-049.833507°	Rua Santa Catarina, Vítor Meireles, Santa Catarina, Brazil	1314.1
-26.933333°,-049.8°	unnamed road, Witmarsum, Santa Catarina, Brazil	1315.7
-27.071775°,-052.341673°	Rua da Prefeitura, Xavantina, Santa Catarina, Brazil	1521.0
-27.453701°,-051.554232°	Rua Otaviano Francescki, Zortéa, Santa Catarina, Brazil	1550.2
-29.648783°,-053.260975°	Rodovia do Imigrante, Agudo, Rio Grande do Sul, Brazil	1487.7
-29.334357°,-053.086511°	Rua Padre Afonso Diehl, Arroio do Tigre, Rio Grande do Sul, Brazil	1527.1
-30.515955°,-053.483078°	Rua Coronel Coriolano de Castro, Caçapava do Sul, Rio Grande do Sul, Brazil	1546.0
-30.039167°,-052.893889°	Rua Ernesto Alves, Cachoeira do Sul, Rio Grande do Sul, Brazil	1513.9
-29.672°,-052.787°	Avenida Pereira Rêgo, Candelária, Rio Grande do Sul, Brazil	1475.0
-29.653889°,-052.933889°	unnamed road, Cerro Branco, Rio Grande do Sul, Brazil	1463.6
-29.628156°,-053.364779°	Rodovia do Imigrante, Dona Francisca, Rio Grande do Sul, Brazil	1504.0
-30.533333°,-052.516667°	unnamed road, Encruzilhada do Sul, Rio Grande do Sul, Brazil	1527.3
-29.176944°,-053.158889°	Avenida Lauro Billig de Castilhos, Estrela Velha, Rio Grande do Sul, Brazil	1550.7
-29.616699°,-053.4333°	unnamed road, São João do Polêsine, Rio Grande do Sul, Brazil	1510.9
-29.424182°,-053.127315°	Rua Julio Bridi, Ibarama, Rio Grande do Sul, Brazil	1512.8
-29.225881°,-053.68474°	Avenida Ildefonso Cesar, Julio de Castilhos, Rio Grande do Sul, Brazil	1563.6
-29.488889°,-053.013889°	Avenida José Luchese, Lagoa Bonita do Sul, Rio Grande do Sul, Brazil	1531.8
-29.221979°,-052.772506°	Rua Maurílio Nunes, Lagoão, Rio Grande do Sul, Brazil	1530.8
-30.810783°,-053.898036°	Rua Coronel Mesa, Lavras do Sul, Rio Grande do Sul, Brazil	1531.9
-29.471944°,-053.468889°	Rua João Volcato, Nova Palma, Rio Grande do Sul, Brazil	1488.3
-29.735°,-052.947778°	Avenida Vinte e Oito de Dezembro, Novo Cabrais, Rio Grande do Sul, Brazil	1478.8
-29.731352°,-053.181799°	Rua Max Retzlaff, Paraíso do Sul, Rio Grande do Sul, Brazil	1505.2
-29.451632°,-052.964698°	Avenida Pinheiro, Passa Sete, Rio Grande do Sul, Brazil	1522.6
-29.346111°,-053.306667°	Rua César Rubim, Pinhal Grande, Rio Grande do Sul, Brazil	1526.8
-29.816667°,-053.383333°	Rua Coronel Horacio Borges, Restinga Sêca, Rio Grande do Sul, Brazil	1512.9
-29.98425°,-052.371286°	Rua Treze de Maio, Rio Pardo, Rio Grande do Sul, Brazil	1491.5
-29.087778°,-053.212778°	Rua Alberto Pasqualini, Salto do Jacuí, Rio Grande do Sul, Brazil	1550.3
-30.339472°,-054.088387°	Rua Tarumã, Santa Margarida do Sul, Rio Grande do Sul, Brazil	1567.6
-29.499572°,-050.994°	Rua Benno Closs, Santa Maria do Herval, Rio Grande do Sul, Brazil	1411.3
-30.337029°,-054.321724°	Rua Coronel Soares, Sede, Rio Grande do Sul, Brazil	1562.9
-30.169015°,-053.571881°	Rua 7 de Setembro, Sede, Rio Grande do Sul, Brazil	1533.7
-29.268889°,-053.011944°	Avenida Ottmar Von Borowski, Tamanduá, Rio Grande do Sul, Brazil	1536.5
-29.415767°,-053.028639°	Rua Paulino Bridi, Sobradinho, Rio Grande do Sul, Brazil	1521.9
-30.342257°,-053.885127°	Rua Quatro, Vila Nova do Sul, Rio Grande do Sul, Brazil	1557.5
-16.764444°,-049.436944°	Avenida Dom Felipe, Abadia de Goiás, Goiás, Brazil	1706.0
-16.197982°,-048.705474°	Avenida Geraldo Rodrigues Santos, Abadiânia, Goiás, Brazil	1713.5
-17.395556°,-050.368333°	Rua C 6, Acreúna, Goiás, Brazil	1696.1
-16.394167°,-050.167778°	unnamed road, Adelândia, Goiás, Brazil	1692.6
-14.980833°,-047.768889°	unnamed road, Água Fria de Goiás, Goiás, Brazil	1698.4
-18.074829°,-048.762376°	Rua José Cândido Guimarães, Água Limpa, Goiás, Brazil	1704.6
-15.754444°,-048.281944°	unnamed road, Águas Lindas de Goiás, Goiás, Brazil	1682.5
-16.078611°,-048.500833°	Avenida Nelson Santos, Alexânia, Goiás, Brazil	1696.3
-17.728333°,-049.470556°	GO-213, Morrinhos, Goiás, Brazil	1706.7
-14.194494°,-049.340016°	Avenida Maracana, Alto Horizonte, Goiás, Brazil	1695.7
-14.133333°,-047.516667°	Avenida Ary Valadão Filho, Alto Paraíso de Goiás, Goiás, Brazil	1674.5
-14.484597°,-046.494895°	unnamed road, Alvorada do Norte, Goiás, Brazil	1720.1
-13.915958°,-049.29256°	unnamed road, Amaralina, Goiás, Brazil	1682.8
-16.255556°,-049.9825°	Rua Mariano Gonçalves, Americano do Brasil, Goiás, Brazil	1697.5
-16.617778°,-051.093333°	Rua Euclides da Cunha, Amorinópolis, Goiás, Brazil	1708.8
-16.327401°,-048.953322°	Rua Desembargador Jaime, Anápolis, Goiás, Brazil	1689.2
-18.336944°,-048.218889°	Rua Abilio Gançalves Rios, Anhanguera, Goiás, Brazil	1691.4
-16.464533°,-049.953979°	Rua 02, Anicuns, Goiás, Brazil	1685.8
-16.822778°,-049.225556°	Avenida João R. de Oliveira, Aparecida de Goiânia, Goiás, Brazil	1706.9
-18.300194°,-051.151361°	Rua Eduardo Siqueira, Aparecida do Rio Doce, Goiás, Brazil	1673.6
-18.961111°,-051.921667°	Avenida Juventino Alves dos Santos, Aporé, Goiás, Brazil	1679.2
-16.358524°,-049.67996°	Avenida João de Faria, Araçu, Goiás, Brazil	1678.3
-15.9025°,-052.241944°	Rua Pastor Waldemar Nogueira Ramos, Aragarças, Goiás, Brazil	1663.0
-16.914167°,-049.4525°	GO-040, Aragoiânia, Goiás, Brazil	1710.6
-15.09°,-050.627222°	Avenida Coimbra Bueno, Araguapaz, Goiás, Brazil	1688.1
-16.385402°,-051.560227°	Avenida Marcelino Domingos Monteiro, Arenópolis, Goiás, Brazil	1687.7
-14.930833°,-051.03°	Aruanã, Goiás, Brazil	1701.6
-16.683299°,-050.462878°	Rua Venancio Taveira de Matos, Aurilândia, Goiás, Brazil	1705.5
-16.45°,-049.75°	unnamed road, Avelinópolis, Goiás, Brazil	1689.7
-16.196489°,-052.54501°	unnamed road, Baliza, Goiás, Brazil	1679.3
-14.977858°,-048.92352°	Rua Pedra de Fogo, Barro Alto, Goiás, Brazil	1685.5
-16.974232°,-048.952924°	Praça Jose Lobo, Bela Vista de Goiás, Goiás, Brazil	1705.9
-16.200493°,-052.175891°	Rua Joaquim Cardoso, Bom Jardim de Goiás, Goiás, Brazil	1686.2
-18.22°,-049.7275°	Rua Itumbiara, Bom Jesus de Goiás, Goiás, Brazil	1682.1
-16.617222°,-048.96°	Rua Maranhao, Bonfinópolis, Goiás, Brazil	1697.1
-13.653333°,-049.831389°	Rua Rio Gregorio, Bonópolis, Goiás, Brazil	1678.9
-16.441111°,-049.381667°	unnamed road, Brazabrantes, Goiás, Brazil	1687.6
-15.247232°,-051.166396°	Rua José Gonçalves Filho, Britânia, Goiás, Brazil	1705.9
-18.138056°,-049.041667°	Rua Doutor Couto Magalhaes, Buriti Alegre, Goiás, Brazil	1701.7
-16.15°,-050.433333°	unnamed road, Buriti de Goiás, Goiás, Brazil	1687.7
-14.474722°,-046.415°	Buritinópolis, Goiás, Brazil	1710.8
-15.795833°,-046.926944°	unnamed road, Cabeceiras, Goiás, Brazil	1733.7
-18.760719°,-050.94621°	Rua Castelo Branco, Cachoeira Alta, Goiás, Brazil	1684.1
-16.6775°,-050.646389°	unnamed road, Cachoeira de Goiás, Goiás, Brazil	1719.9
-18.490736°,-049.477021°	Rua Maria Zago, Cachoeira Dourada, Goiás, Brazil	1676.4
-18.559188°,-051.129182°	Rua José Manoel de Castro, Caçu, Goiás, Brazil	1685.8
-16.968584°,-051.81344°	Avenida Major Neca, Caiapônia, Goiás, Brazil	1686.0
-17.745°,-048.625°	Avenida Coronel Bento de Godoy, Caldas Novas, Goiás, Brazil	1712.7
-16.714722°,-048.999444°	Avenida Bernardo Sayão, Caldazinha, Goiás, Brazil	1695.7
-16.763642°,-049.693558°	Avenida Rui Barbosa, Campestre de Goiás, Goiás, Brazil	1699.3
-13.790556°,-048.560833°	unnamed road, Campinaçu, Goiás, Brazil	1684.3
-14.303387°,-049.148444°	Avenida Bernardo Sayão, Campinorte, Goiás, Brazil	1708.5
-17.639686°,-047.778275°	Rua dos Produtores, Campo Alegre de Goiás, Goiás, Brazil	1694.8
-16.295°,-049.084722°	unnamed road, Campo Limpo de Goiás, Goiás, Brazil	1674.0
-13.036944°,-046.771944°	Rua Ciríaco Antônio Cardoso, Campos Belos, Goiás, Brazil	1702.4
