Coordenadas Geográficas	Cidade, Estado, País	Specific photovoltaic power output
00.880798°,-059.696655°	Perimetral Norte, São João da Baliza, Roraima, Brazil	1514.0
02.181944°,-061.040833°	Rodovia Manaus - Boa Vista, Iracema, Roraima, Brazil	1542.4
02.43°,-060.9°	Mucajaí, Roraima, Brazil	1543.7
03.879479°,-059.634498°	Rua Cícero Gelb de Lima, Normandia, Roraima, Brazil	1598.8
04.430833°,-061.145833°	Pacaraima, Roraima, Brazil	1612.6
00.947092°,-060.425326°	Rua Araguaia, Rorainópolis, Roraima, Brazil	1516.4
00.950833°,-059.910833°	São Francisco, São João da Baliza, Roraima, Brazil	1505.3
01.013261°,-060.037806°	Rua Paiva Brasil, São Luiz, Roraima, Brazil	1510.3
04.595012°,-060.16245°	unnamed road, Uiramutã, Roraima, Brazil	1632.1
-24.95299°,-050.110824°	Rua das Águas Marinhas, Carambeí, Paraná, Brazil	1487.5
-24.792233°,-050.011684°	Rua Dom Pedro II, Castro, Paraná, Brazil	1458.8
-24.568563°,-049.420745°	Rua João Gabriel de Oliveira, Doutor Ulysses, Paraná, Brazil	1359.7
-24.533936°,-049.925579°	Rodovia Senador Flávio Carvalho Guimarães, Piraí do Sul, Paraná, Brazil	1504.3
02.05108°,-050.7945°	Avenida Alves da Cunha, Amapá, Amapá, Brazil	1514.3
02.497778°,-050.948889°	Rua Jorge Barreto, Calçoene, Amapá, Brazil	1536.5
00.966675°,-050.797671°	Avenida Manoel Raimundo Pereira, Cutias, Amapá, Brazil	1501.3
00.857778°,-051.18°	Avenida Coaracy Nunes, Ferreira Gomes, Amapá, Brazil	1513.2
00.603915°,-050.699886°	Rua São Benedito, Itaubal, Amapá, Brazil	1543.8
-00.840296°,-052.520149°	Avenida Tancredo Neves, Laranjal do Jari, Amapá, Brazil	1533.1
00.033889°,-051.35°	Igarapé do Lago, Amapá, Brazil	1538.1
-00.115°,-051.288889°	Avenida Prefeito Osmundo Costa, Mazagão, Amapá, Brazil	1588.5
03.842778°,-051.835°	Avenida Barão do Rio Branco, Oiapoque, Amapá, Brazil	1449.7
00.779444°,-051.948889°	Rua José Pereira Sobrinho, Pedra Branca do Amaparí, Amapá, Brazil	1499.9
00.712778°,-051.412778°	Avenida Joaquim Frazão de Araújo, Porto Grande, Amapá, Brazil	1462.5
01.743611°,-050.784444°	Rua Elogio Ferreira, Pracuúba, Amapá, Brazil	1484.3
-00.043384°,-051.174137°	Avenida 15 de Novembro, Santana, Amapá, Brazil	1583.3
00.866873°,-052.025769°	Cachaço, Amapá, Brazil	1492.0
01.505737°,-050.911344°	Rua São Luís, Tartarugalzinho, Amapá, Brazil	1472.6
-01.123611°,-051.995833°	Rua Salvador Diniz, Vitória do Jari, Amapá, Brazil	1566.5
-15.779384°,-047.925738°	N1, Brasília, Federal District, Brazil	1688.6
-23.253611°,-045.687778°	Rua Benedito dos Santos, Jambeiro, São Paulo, Brazil	1510.8
-23.381934°,-045.458101°	Avenida Benedito Matarazzo Sobrinho, Natividade da Serra, São Paulo, Brazil	1489.8
-23.386111°,-045.662222°	Rua Major Soares, Paraibuna, São Paulo, Brazil	1504.7
-23.283711°,-045.531322°	Rodovia Otacílio Fernandes da Silva, Redenção da Serra, São Paulo, Brazil	1515.9
-23.402565°,-045.887251°	Rua Biagino Chieffi, Santa Branca, São Paulo, Brazil	1502.7
-23.846111°,-046.629722°	Riacho Grande, São Paulo, Brazil	1373.9
-23.846111°,-046.629722°	Riacho Grande, São Paulo, Brazil	1373.9
-24.276605°,-047.234058°	unnamed road, Pedro de Toledo, São Paulo, Brazil	1296.8
-23.846111°,-046.629722°	Riacho Grande, São Paulo, Brazil	1373.9
-29.998876°,-051.076248°	Rua Nilzo Ramires, Alvorada, Rio Grande do Sul, Brazil	1474.2
-30.866667°,-052.25°	ERS-354, Amaral Ferrador, Rio Grande do Sul, Brazil	1458.6
-30.912445°,-051.49865°	Avenida Presidente Vargas, Arambaré, Rio Grande do Sul, Brazil	1513.9
-31.442815°,-052.422948°	unnamed road, Arroio do Padre, Rio Grande do Sul, Brazil	1435.3
-29.550833°,-049.888889°	Rua Independência, Arroio do Sal, Rio Grande do Sul, Brazil	1470.6
-30.076906°,-051.728615°	Avenida Pedro Fantin, Arroio dos Ratos, Rio Grande do Sul, Brazil	1484.7
-32.238348°,-053.086314°	Rua Doutor Monteiro, Arroio Grande, Rio Grande do Sul, Brazil	1495.0
-31.32°,-054.106944°	Avenida Marechal Floriano, Bagé, Rio Grande do Sul, Brazil	1541.8
-30.246944°,-050.232778°	Rua Navegantes, Pinhal-Sede, Rio Grande do Sul, Brazil	1501.5
-30.383333°,-051.733333°	ERS-711, Barão do Triunfo, Rio Grande do Sul, Brazil	1435.2
-30.291133°,-051.302837°	Avenida Visconde do Rio Grande, Barra do Ribeiro, Rio Grande do Sul, Brazil	1505.9
-30.118026°,-051.963989°	Rua Piratini, Butiá, Rio Grande do Sul, Brazil	1498.7
-30.85°,-051.816667°	Rua Sete de Setembro, Camaquã, Rio Grande do Sul, Brazil	1457.8
-31.6°,-053.733333°	unnamed road, Jaguarão Grande, Rio Grande do Sul, Brazil	1526.0
-31.4°,-052.683333°	Rua 25 de Julho, Primeiro Distrito, Rio Grande do Sul, Brazil	1469.6
-29.743224°,-050.009885°	Rua Divisória, Capão da Canoa, Rio Grande do Sul, Brazil	1488.6
-32.237778°,-053.086944°	Rua Dom Pedro II, Arroio Grande, Rio Grande do Sul, Brazil	1495.0
-30.143521°,-050.509715°	Avenida Adrião Monteiro, Capivari do Sul, Rio Grande do Sul, Brazil	1486.0
-29.79057°,-050.433536°	unnamed road, Caraá, Rio Grande do Sul, Brazil	1444.6
-31.854726°,-052.81467°	Rua Doutor Jacques da Rosa Machado, Cerrito, Rio Grande do Sul, Brazil	1477.4
-30.59°,-051.738889°	ERS-715, Cerro Grande do Sul, Rio Grande do Sul, Brazil	1430.1
-29.966667°,-051.633333°	Rua Padre Pinto, Charqueadas, Rio Grande do Sul, Brazil	1487.4
-33.68941°,-053.454195°	Rua Nestor C. de Andrade, Chuí, Rio Grande do Sul, Brazil	1551.9
-30.747068°,-051.982799°	Rodovia Romildo Maciejewski, Chuvisca, Rio Grande do Sul, Brazil	1454.6
-30.160833°,-050.233889°	ERS-784, Cidreira, Rio Grande do Sul, Brazil	1492.0
-30.998892°,-052.050416°	Rua do Turismo, Cristal, Rio Grande do Sul, Brazil	1457.7
-30.7°,-052.116667°	Estrada Velha, Dom Feliciano, Rio Grande do Sul, Brazil	1439.8
-30.967°,-054.667°	Rua Duque de Caxias, Dom Pedrito, Rio Grande do Sul, Brazil	1568.6
-29.369555°,-049.849944°	Rua Padre Jorge, Dom Pedro de Alcântara, Rio Grande do Sul, Brazil	1420.5
-29.997289°,-051.308177°	Avenida Emancipação, Sede, Rio Grande do Sul, Brazil	1489.9
-30.533333°,-052.516667°	unnamed road, Encruzilhada do Sul, Rio Grande do Sul, Brazil	1527.3
-30.118333°,-051.321389°	unnamed road, Guaíba, Rio Grande do Sul, Brazil	1483.7
