Coordenadas Geográficas	Cidade, Estado, País	Specific photovoltaic power output
-14.4175°,-044.370278°	Alameda Cochanina, Montalvânia, Minas Gerais, Brazil	1762.7
-18.870833°,-048.880833°	unnamed road, Monte Alegre de Minas, Minas Gerais, Brazil	1691.6
-15.158642°,-042.867626°	Rua Antonio Ferreira Lima, Monte Azul, Minas Gerais, Brazil	1713.0
-21.3258°,-046.3678°	Avenida Francisco Wenceslau dos Anjos, Monte Belo, Minas Gerais, Brazil	1599.0
-18.726667°,-047.499444°	Avenida João Pinheiro, Monte Carmelo, Minas Gerais, Brazil	1703.6
-16.8625°,-041.247222°	LMG-646, Monte Formoso, Minas Gerais, Brazil	1462.6
-21.2°,-046.983333°	Rua Virgílio Esteves, Monte Santo de Minas, Minas Gerais, Brazil	1598.9
-22.432574°,-046.572221°	Avenida Presidente Getúlio Vargas, Monte Sião, Minas Gerais, Brazil	1615.6
-16.73688°,-043.865372°	Avenida Doutor João Luiz de Almeida, Montes Claros, Minas Gerais, Brazil	1705.4
-15.178026°,-042.501102°	Rua Maria Pereira de Araujo, Montezuma, Minas Gerais, Brazil	1609.0
-18.604722°,-045.357222°	Rua Padre Firmino Dias, Morada Nova de Minas, Minas Gerais, Brazil	1744.9
-18.547309°,-044.601518°	Praça São Sebastião, Morro da Garça, Minas Gerais, Brazil	1701.9
-19.2°,-043.383333°	unnamed road, Morro do Pilar, Minas Gerais, Brazil	1458.3
-19.816076°,-041.437354°	Avenida São Manoel, Mutum, Minas Gerais, Brazil	1463.4
-21.375833°,-046.525833°	Rua Tiradentes, Muzambinho, Minas Gerais, Brazil	1609.3
-18.453571°,-042.249655°	LMG-744, Nacip Raydan, Minas Gerais, Brazil	1481.1
-17.838191°,-040.350397°	Rua Uberaba, Nanuque, Minas Gerais, Brazil	1432.9
-19.23°,-042.327778°	Praça José Falcão, Naque, Minas Gerais, Brazil	1476.8
-16.503889°,-046.492778°	Rua Nossa Senhora Aparecida, Natalândia, Minas Gerais, Brazil	1679.9
-22.12°,-045.511944°	Praça Prefeito Antônio Virgílio da Silva, Natércia, Minas Gerais, Brazil	1561.1
-21.220406°,-044.614494°	Avenida Padre Francisco de Andrade, Nazareno, Minas Gerais, Brazil	1596.2
-21.228056°,-045.239722°	Rua Joaquim Alves Vilela, Nepomuceno, Minas Gerais, Brazil	1626.9
-15.305556°,-041.723333°	unnamed road, Ninheira, Minas Gerais, Brazil	1523.8
-18.475°,-041.016944°	Rua Julio José Verly, Santo Antônio de Nova Belém, Minas Gerais, Brazil	1391.5
-19.75°,-043.037778°	Nova Era, Minas Gerais, Brazil	1466.1
-19.987606°,-043.846452°	Rua Benedito Valadares, Nova Lima, Minas Gerais, Brazil	1578.8
-18.438577°,-041.500023°	Rua Domingos Antônio Gonçalves, Nova Módica, Minas Gerais, Brazil	1449.2
-19.162624°,-047.678257°	Rua Orcalino Costa, Nova Ponte, Minas Gerais, Brazil	1687.2
-15.801938°,-043.299389°	Rua Gorutuba, Nova Porteirinha, Minas Gerais, Brazil	1757.8
-21.125332°,-046.420151°	Praça Santa Rita, Nova Resende, Minas Gerais, Brazil	1595.4
-19.866667°,-044.983333°	Avenida Diamante, Nova Serrana, Minas Gerais, Brazil	1651.7
-19.688781°,-043.586782°	Rua Dom Cabral, Nova União, Minas Gerais, Brazil	1548.5
-17.466484°,-041.881247°	Rua Jorge Chain, Novo Cruzeiro, Minas Gerais, Brazil	1465.1
-17.415833°,-041.215278°	Rua Águas Formosas, Novo Oriente de Minas, Minas Gerais, Brazil	1446.9
-16.016948°,-042.408187°	AMG-3405, Novorizonte, Minas Gerais, Brazil	1568.2
-21.8767°,-043.9363°	Rodovia Vital Brasil, Olaria, Minas Gerais, Brazil	1441.9
-17.3966°,-043.5754°	unnamed road, Olhos-d'Água, Minas Gerais, Brazil	1621.8
-22.066667°,-045.266667°	Rua Trinta de Dezembro, Olímpio Noronha, Minas Gerais, Brazil	1573.2
-20.697056°,-044.827752°	Praça Quinze de Novembro, Oliveira, Minas Gerais, Brazil	1630.6
-21.333333°,-043.45°	Rua José Floriano dos Santos, Oliveira Fortes, Minas Gerais, Brazil	1464.9
-19.73°,-044.806944°	Rua das Cavalhadas, Onça de Pitangui, Minas Gerais, Brazil	1611.1
-20.433333°,-042.8°	Rua Carlos Cardoso, Oratórios, Minas Gerais, Brazil	1494.7
-20.506334°,-042.207513°	Rua Jovelino da Costa, Orizânia, Minas Gerais, Brazil	1437.1
-20.52083°,-043.69194°	Praça Santa Cruz, Ouro Branco, Minas Gerais, Brazil	1516.3
-22.282778°,-046.368889°	Rua Prefeito José Serra, Ouro Fino, Minas Gerais, Brazil	1581.0
-20.385616°,-043.503493°	Rua Antônio Pereira, Ouro Preto, Minas Gerais, Brazil	1431.6
-18.071087°,-041.279074°	Avenida Caporanga, Ouro Verde de Minas, Minas Gerais, Brazil	1413.5
-16.363889°,-042.515°	Rua Lafaiete, Padre Carvalho, Minas Gerais, Brazil	1545.5
-17.066667°,-041.483333°	Rua Ceará, Padre Paraíso, Minas Gerais, Brazil	1448.0
-15.532924°,-043.067868°	unnamed road, Pai Pedro, Minas Gerais, Brazil	1764.9
-18.905833°,-045.538056°	Rua Hipolito Rosa, Paineiras, Minas Gerais, Brazil	1701.1
-20.370833°,-045.660833°	Rua do Contorno, Pains, Minas Gerais, Brazil	1641.7
-21.288659°,-043.415078°	Avenida Juscelino Ferreira de Paiva, Paiva, Minas Gerais, Brazil	1457.8
-16.735794°,-040.420435°	Avenida Belo Horizonte, Palmópolis, Minas Gerais, Brazil	1434.4
-19.449597°,-044.744683°	Rua Moacir Vieira Xavier, Papagaios, Minas Gerais, Brazil	1665.5
-19.86006°,-044.607839°	Praça Cônego Gabriel Hugo Costa Bittencourt, Pará de Minas, Minas Gerais, Brazil	1639.8
-17.221944°,-046.875°	Avenida Deputado Quintino Vargas, Paracatu, Minas Gerais, Brazil	1729.1
-21.533056°,-045.766389°	unnamed road, Paraguaçu, Minas Gerais, Brazil	1636.6
-22.553889°,-045.78°	Praça Presidente Getúlio Vargas, Paraisópolis, Minas Gerais, Brazil	1605.6
-19.278646°,-044.40147°	Rua Paulo Cecílio, Paraopeba, Minas Gerais, Brazil	1671.6
-22.39°,-044.966944°	Rua Tenente Viotti, Passa Quatro, Minas Gerais, Brazil	1618.0
-20.651198°,-044.49599°	Praça Raul Leite, Passa Tempo, Minas Gerais, Brazil	1630.3
-19.283333°,-043.216667°	LMG-777, Santo Antônio do Rio Abaixo, Minas Gerais, Brazil	1489.8
-22.208889°,-044.233889°	Rua Benedito Caetano Alves, Passa-Vinte, Minas Gerais, Brazil	1429.2
-20.718889°,-046.61°	Rua Zulmira Lemos Macedo, Passos, Minas Gerais, Brazil	1672.6
-16.082142°,-044.083974°	Rua Joaquim Nunes Cordeiro, Patis, Minas Gerais, Brazil	1746.1
-18.57925°,-046.518588°	Rua Ana Souza, Patos de Minas, Minas Gerais, Brazil	1657.0
-18.933333°,-046.983333°	Rua Elpídio Ribeiro da Rocha, Patrocínio, Minas Gerais, Brazil	1669.0
-20.87438°,-042.982384°	Rua Capitão José Maurilio Valente, Paula Cândido, Minas Gerais, Brazil	1470.0
-18.423208°,-042.868614°	Rua João Ulisses Alves, Paulistas, Minas Gerais, Brazil	1481.7
-17.428914°,-041.000805°	Rua Primeiro de Março, Pavão, Minas Gerais, Brazil	1430.1
-18.547831°,-042.559727°	Rua Horácio de Freitas, Peçanha, Minas Gerais, Brazil	1465.3
-16.012097°,-041.290028°	unnamed road, Pedra Azul, Minas Gerais, Brazil	1504.2
-20.520433°,-042.329987°	Rua Santuario Roque, Pedra Bonita, Minas Gerais, Brazil	1462.4
-20.6°,-042.716667°	unnamed road, Pedra do Anta, Minas Gerais, Brazil	1509.7
-20.257778°,-045.208889°	unnamed road, Pedra do Indaiá, Minas Gerais, Brazil	1635.2
-22.247226°,-045.467136°	Rua Poeta João Carneiro de Rezende, Pedralva, Minas Gerais, Brazil	1548.4
-15.601667°,-044.389444°	unnamed road, Pedras de Maria da Cruz, Minas Gerais, Brazil	1753.9
-19.227778°,-047.461944°	Rua Coronel Pedro Rodrigues, Pedrinópolis, Minas Gerais, Brazil	1712.1
-19.620121°,-044.044081°	unnamed road, Pedro Leopoldo, Minas Gerais, Brazil	1641.5
-21.706993°,-043.758176°	Rua Santa Cruz, Pedro Teixeira, Minas Gerais, Brazil	1441.1
-21.835845°,-043.120076°	Rua Marcelino Tostes, Pequeri, Minas Gerais, Brazil	1431.1
-19.632778°,-044.658889°	Praça São Vicente, Pequi, Minas Gerais, Brazil	1656.0
-19.953149°,-045.078273°	Avenida Brasília, Perdigão, Minas Gerais, Brazil	1657.9
-19.352778°,-047.292778°	Rua Euclides Erothilde da Silva, Perdizes, Minas Gerais, Brazil	1681.3
-21.090833°,-045.090833°	Rua Sá Fortes, Perdões, Minas Gerais, Brazil	1592.8
-19.155494°,-042.242952°	Rua Santos Fernandes, Periquito, Minas Gerais, Brazil	1475.2
-18.357001°,-041.59773°	Praça São Pedro, Pescador, Minas Gerais, Brazil	1447.9
-21.5089°,-043.3228°	AMG-3060 / Rua Constância de Castro, Piau, Minas Gerais, Brazil	1439.6
-19.758889°,-042.075833°	Avenida Isabel Vieira, Piedade de Caratinga, Minas Gerais, Brazil	1412.0
-20.245313°,-042.73619°	Rua Doutor Antônio Martins Silva, Piedade de Ponte Nova, Minas Gerais, Brazil	1506.0
-21.467781°,-044.195905°	Rua maria da Conceição Fernandes, Piedade do Rio Grande, Minas Gerais, Brazil	1533.8
-20.470833°,-044.226944°	Rua Nicanor Ferreira Gomes, Piedade dos Gerais, Minas Gerais, Brazil	1611.2
-20.483889°,-045.798889°	Rua Tiradentes, Pimenta, Minas Gerais, Brazil	1641.9
-19.727397°,-042.411979°	Rua Raimundo Madalena, Pingo d'Água, Minas Gerais, Brazil	1458.5
-16.058889°,-045.155833°	unnamed road, Pintópolis, Minas Gerais, Brazil	1759.0
-20.507095°,-044.477462°	Rua Geraldo Tiano, Piracema, Minas Gerais, Brazil	1608.4
-19.908994°,-048.702536°	Praça Maria Jorge Miziara, Pirajuba, Minas Gerais, Brazil	1663.4
-20.683333°,-043.3°	Rua José Inácio Peixoto, Piranga, Minas Gerais, Brazil	1451.1
-22.526202°,-045.496326°	unnamed road, Piranguçu, Minas Gerais, Brazil	1591.6
-22.403092°,-045.534961°	Rua Olavo Pereira de Castro, Piranguinho, Minas Gerais, Brazil	1608.4
-21.658839°,-042.347542°	Rua Malvina Fabrício, Pirapetinga, Minas Gerais, Brazil	1475.8
-17.342808°,-044.932494°	Rua Álvaro Nascimento, Pirapora, Minas Gerais, Brazil	1745.2
-19.677222°,-044.89°	Rua Vasco Azevedo, Pitangui, Minas Gerais, Brazil	1628.2
-20.465°,-046.957778°	Cássia, Minas Gerais, Brazil	1680.7
-20.138248°,-048.698947°	Rua Antônio Sebastião Domingos, Planura, Minas Gerais, Brazil	1670.9
-21.782242°,-045.962393°	Rua Gentil Campos, Poço Fundo, Minas Gerais, Brazil	1578.3
-21.788422°,-046.562723°	Rua Correia Neto, Poços de Caldas, Minas Gerais, Brazil	1586.6
-19.616667°,-041.616667°	Barra da Figueira, Minas Gerais, Brazil	1448.9
-19.223333°,-045.003333°	Rua Prefeito Francisco Campos, Pompéu, Minas Gerais, Brazil	1674.2
-20.409693°,-042.900674°	Avenida Ernesto Trivelato, Ponte Nova, Minas Gerais, Brazil	1485.7
-16.631944°,-045.066667°	Avenida Nestor Alves Clementino, Ponto Chique, Minas Gerais, Brazil	1735.8
-16.748575°,-041.505845°	unnamed road, Ponto dos Volantes, Minas Gerais, Brazil	1464.3
-15.748611°,-043.023611°	unnamed road, Porteirinha, Minas Gerais, Brazil	1752.1
-20.666667°,-043.1°	unnamed road, Porto Firme, Minas Gerais, Brazil	1453.0
-17.8075°,-041.785833°	Rua Eliezer Pena, Poté, Minas Gerais, Brazil	1443.6
-22.228056°,-045.933611°	Rua Monsenhor Dutra, Quadrante Central, Minas Gerais, Brazil	1606.8
-22.1939°,-044.9728°	Rua Sebastião Lopes de Oliveira, Pouso Alto, Minas Gerais, Brazil	1592.9
-21.055175°,-044.087441°	Avenida Tiradentes, Prados, Minas Gerais, Brazil	1551.8
-19.306944°,-048.923889°	Rua Nazário Fagundes de Freitas, Prata, Minas Gerais, Brazil	1681.9
-20.742774°,-046.862528°	Rua Coronel Neca Lemos, Pratápolis, Minas Gerais, Brazil	1668.6
-19.751743°,-046.37958°	Rua Lucas José Pereira, Pratinha, Minas Gerais, Brazil	1630.3
-20.768889°,-043.187778°	Rua São José, Presidente Bernardes, Minas Gerais, Brazil	1458.9
-18.636944°,-044.057778°	Rua Domingos Diniz, Presidente Juscelino, Minas Gerais, Brazil	1662.5
-18.613717°,-043.562308°	Rua Tijucal, Presidente Kubitschek, Minas Gerais, Brazil	1565.3
-18.417778°,-046.417778°	Rua Severino Mendes, Presidente Olegário, Minas Gerais, Brazil	1662.8
-19.480306°,-044.1549°	Rua Antônio Azevedo, Prudente de Morais, Minas Gerais, Brazil	1668.8
-19.273889°,-045.556944°	Rua Padre Luís Gonzaga, Quartel Geral, Minas Gerais, Brazil	1680.4
-20.740758°,-043.875099°	Rua Padre Gurgel, Queluzito, Minas Gerais, Brazil	1568.7
-19.967263°,-043.803972°	Rua Padre Antônio Maria, Raposos, Minas Gerais, Brazil	1571.7
-20.083333°,-042.366667°	unnamed road, Bicuíba, Minas Gerais, Brazil	1465.8
-20.904495°,-044.232551°	Rua Jequitiba, Resende Costa, Minas Gerais, Brazil	1550.0
-19.326579°,-041.255219°	Avenida Olegario Maciel, Resplendor, Minas Gerais, Brazil	1444.1
-21.062778°,-043.762778°	Praça Pio XII, Ressaquinha, Minas Gerais, Brazil	1507.7
-16.23°,-046.991944°	Unaí, Minas Gerais, Brazil	1714.1
-16.003612°,-043.042552°	MG-120, Riacho dos Machados, Minas Gerais, Brazil	1713.1
-19.766944°,-044.086944°	Rua Ari Teixeira da Costa, Ribeirão das Neves, Minas Gerais, Brazil	1650.6
-21.190833°,-045.061944°	Rua Doutor Ouvidio Cavalcante, Ribeirão Vermelho, Minas Gerais, Brazil	1614.9
-20.085518°,-043.789766°	Rua Primeiro de Maio, Rio Acima, Minas Gerais, Brazil	1551.7
-20.225833°,-042.650833°	Rua da Conceição, Rio Casca, Minas Gerais, Brazil	1508.2
-16.607778°,-040.57°	Rua Ouro Preto, Rio do Prado, Minas Gerais, Brazil	1446.3
-20.245224°,-042.895109°	Rua Coronel João José, Rio Doce, Minas Gerais, Brazil	1511.1
-20.855°,-043.473889°	Rua José Rodrigues de Miranda, Rio Espera, Minas Gerais, Brazil	1480.4
-20.262321°,-044.308073°	Rua Francisco Ronaldo, Rio Manso, Minas Gerais, Brazil	1621.0
-21.457778°,-043.125°	MG-353, Rio Novo, Minas Gerais, Brazil	1472.5
-19.193912°,-046.243568°	Rua João Leandro, Rio Paranaíba, Minas Gerais, Brazil	1662.0
-15.605556°,-042.534167°	unnamed road, Rio Pardo de Minas, Minas Gerais, Brazil	1567.9
-19.928889°,-043.173889°	unnamed road, Rio Piracicaba, Minas Gerais, Brazil	1441.9
-21.268959°,-043.184635°	Rua Januário Lima, Rio Pomba, Minas Gerais, Brazil	1460.2
-22.095529°,-043.82307°	unnamed road, Valença, Rio de Janeiro, Brazil	1426.7
-18.293889°,-043.008889°	unnamed road, Rio Vermelho, Minas Gerais, Brazil	1488.1
-21.023147°,-044.336314°	BR-494, Ritápolis, Minas Gerais, Brazil	1553.1
-21.622738°,-043.017635°	Rua Coronel José Mendes, Rochedo de Minas, Minas Gerais, Brazil	1453.3
-18.882778°,-047.586111°	Rua Vereador Aristides Monteiro, Romaria, Minas Gerais, Brazil	1676.4
-16.397778°,-042.262222°	MGC-342;BR-342, Rubelita, Minas Gerais, Brazil	1517.1
-16.375°,-040.537778°	unnamed road, Rubim, Minas Gerais, Brazil	1471.2
-19.889164°,-043.804832°	Avenida Prefeito Vitor Fantini, Sabará, Minas Gerais, Brazil	1573.3
-18.666667°,-043.1°	unnamed road, Sabinópolis, Minas Gerais, Brazil	1450.8
-19.865°,-047.44°	Rua Angelo Crema, Sacramento, Minas Gerais, Brazil	1637.4
-16.098333°,-041.736111°	unnamed road, Santa Cruz de Salinas, Minas Gerais, Brazil	1517.5
-16.002778°,-039.946944°	Rua Maria Clarinda, Salto da Divisa, Minas Gerais, Brazil	1452.8
-21.245995°,-043.560136°	Rua José Custódio Ribeiro, Santa Bárbara do Tugúrio, Minas Gerais, Brazil	1425.2
-19.977778°,-042.14°	Rua São Vicente de Paula, Santa Bárbara do Leste, Minas Gerais, Brazil	1386.0
-21.958889°,-043.701944°	Rua Augusto Adelino de Almeida, Santa Bárbara do Monte Verde, Minas Gerais, Brazil	1424.4
-21.245995°,-043.560136°	Rua José Custódio Ribeiro, Santa Bárbara do Tugúrio, Minas Gerais, Brazil	1425.2
-21.12°,-044.222778°	Travessa São Paulo, Santa Cruz de Minas, Minas Gerais, Brazil	1556.1
-16.098333°,-041.736111°	unnamed road, Santa Cruz de Salinas, Minas Gerais, Brazil	1517.5
-20.235833°,-042.813889°	Rua Amaro Lima Ribeiro, Santa Cruz do Escalvado, Minas Gerais, Brazil	1508.3
-18.826747°,-042.439469°	Praça Santa Efigênia, Santa Efigênia de Minas, Minas Gerais, Brazil	1396.6
-16.691642°,-045.414006°	Rua Professora Maria Lima, Santa Fé de Minas, Minas Gerais, Brazil	1735.9
-16.939775°,-040.682921°	unnamed road, Santa Helena de Minas, Minas Gerais, Brazil	1449.4
-19.31148°,-047.531827°	unnamed road, Santa Juliana, Minas Gerais, Brazil	1691.6
-19.77°,-043.850556°	Rua Silva Jardim, Santa Luzia, Minas Gerais, Brazil	1656.0
-19.448889°,-043.112778°	Rua José Belizário Guerra Viana, Santa Maria de Itabira, Minas Gerais, Brazil	1457.1
-16.246433°,-040.147283°	Rua Prefeito Julio Alves Correia, Santa Maria do Salto, Minas Gerais, Brazil	1428.9
-18.190177°,-042.418127°	Rua Deputado Nacib Raydan, Santa Maria do Suaçuí, Minas Gerais, Brazil	1477.9
-22.02936°,-046.337142°	Praça Padre Alderije, Santa Rita de Caldas, Minas Gerais, Brazil	1562.9
-21.5599°,-043.9233°	Rua Doutor Geraldo Fonseca, Santa Rita de Ibitipoca, Minas Gerais, Brazil	1508.8
-22.148889°,-044.095°	unnamed road, Santa Rita de Jacutinga, Minas Gerais, Brazil	1422.8
-19.875°,-042.131944°	unnamed road, Santa Rita de Minas, Minas Gerais, Brazil	1391.6
-19.36°,-041.38°	Rua Vinte e Dois de Maio, Santa Rita do Itueto, Minas Gerais, Brazil	1393.4
-22.249517°,-045.706076°	Rua José Pinto Vilela, Santa Rita do Sapucaí, Minas Gerais, Brazil	1591.7
-19.53°,-046.96583°	AXA-137, Araxá, Minas Gerais, Brazil	1670.5
-18.853355°,-050.124679°	Rua Zezeca Franco, Santa Vitória, Minas Gerais, Brazil	1721.6
-21.236944°,-045.508889°	unnamed road, Santana da Vargem, Minas Gerais, Brazil	1613.6
-19.008148°,-044.039553°	Rua Francisco Xavier Diniz, Santana de Pirapama, Minas Gerais, Brazil	1698.4
-21.944893°,-043.162739°	Rua Francelino Correa, Santana do Deserto, Minas Gerais, Brazil	1420.0
-21.6°,-044.1°	AMG-0475, Santana do Garambéu, Minas Gerais, Brazil	1531.5
-20.897778°,-045.130833°	LMG-843, Santana do Jacaré, Minas Gerais, Brazil	1584.8
-19.366667°,-042.533333°	unnamed road, Santana do Paraíso, Minas Gerais, Brazil	1473.8
-19.166498°,-043.713047°	Rua Alfredo Domingos de Melo, Santana do Riacho, Minas Gerais, Brazil	1611.5
-20.78978°,-043.684536°	Avenida Júlia Nogueira, Santana dos Montes, Minas Gerais, Brazil	1493.4
-20.945833°,-044.918889°	Rua Coronel Zinho Borges, Santo Antônio do Amparo, Minas Gerais, Brazil	1594.4
-21.75998°,-042.818753°	Rua Adelaide de Andrade, Santo Antônio do Aventureiro, Minas Gerais, Brazil	1432.4
-20.313889°,-042.608889°	Rua Lourenço de Paula Braga, Santo Antônio do Grama, Minas Gerais, Brazil	1495.3
-18.465833°,-043.306944°	Rua Agenor Duarte, Santo Antônio do Itambé, Minas Gerais, Brazil	1436.6
-16.526894°,-040.176782°	Rua Treze de Janeiro, Santo Antônio do Jacinto, Minas Gerais, Brazil	1430.9
-20.085884°,-045.291577°	Praça Getúlio Vargas, Santo Antônio do Monte, Minas Gerais, Brazil	1650.5
-15.339167°,-042.621389°	unnamed road, Santo Antônio do Retiro, Minas Gerais, Brazil	1571.6
-19.240949°,-043.263487°	unnamed road, Santo Antônio do Rio Abaixo, Minas Gerais, Brazil	1466.3
-18.28781°,-044.218703°	Rua Ursulino Lima, Santo Hipólito, Minas Gerais, Brazil	1693.8
-21.456667°,-043.5525°	Rua Coronel Serrado, Santos Dumont, Minas Gerais, Brazil	1428.3
-21.588592°,-045.067102°	Rua Deputado Manoel da Costa, São Bento Abade, Minas Gerais, Brazil	1613.0
-20.623342°,-043.941161°	Rua Elpidio Campos, São Brás do Suaçuí, Minas Gerais, Brazil	1578.2
-19.526944°,-042.010833°	Rua José Pedro Milward de Azevedo, São Domingos das Dores, Minas Gerais, Brazil	1432.4
-19.866903°,-042.966035°	Rua Joaquim G. Lima, São Domingos do Prata, Minas Gerais, Brazil	1429.7
-18.595496°,-041.488246°	Rua Capitão Messias Gonçalves, São Félix de Minas, Minas Gerais, Brazil	1433.4
-20.8°,-042.266667°	unnamed road, São Francisco do Glória, Minas Gerais, Brazil	1487.1
-20.707578°,-044.984943°	Rua Eustáquio Ribeiro, São Francisco de Paula, Minas Gerais, Brazil	1611.5
-19.856944°,-049.773889°	Avenida Seis, São Francisco de Sales, Minas Gerais, Brazil	1675.3
-20.8°,-042.266667°	unnamed road, São Francisco do Glória, Minas Gerais, Brazil	1487.1
-18.835833°,-042.287778°	LMG-750, Goiabal, Minas Gerais, Brazil	1369.3
-18.9°,-041.36°	unnamed road, São Geraldo do Baixio, Minas Gerais, Brazil	1406.0
-18.340896°,-045.833622°	Rua Doze de Junho, São Gonçalo do Abaeté, Minas Gerais, Brazil	1672.9
-19.982778°,-044.858889°	Rua São José, São Gonçalo do Pará, Minas Gerais, Brazil	1650.1
-19.825833°,-043.361944°	Rua Bélgica, São Gonçalo do Rio Abaixo, Minas Gerais, Brazil	1488.4
-18.004593°,-043.382072°	Rua Direita, São Gonçalo do Rio Preto, Minas Gerais, Brazil	1527.6
-21.891944°,-045.595°	Rua Carlos Augusto Capelli, São Gonçalo do Sapucaí, Minas Gerais, Brazil	1593.6
-19.310833°,-046.048889°	Rua Bento Ferreira, São Gotardo, Minas Gerais, Brazil	1647.2
-20.640833°,-046.505833°	Rua São Paulo, São João Batista do Glória, Minas Gerais, Brazil	1649.7
-16.85334°,-044.347603°	Rua Antônio Bravo, São João da Lagoa, Minas Gerais, Brazil	1700.6
-21.932685°,-045.927866°	Rua Maria José de Paiva, São João da Mata, Minas Gerais, Brazil	1564.0
-15.928154°,-044.009198°	Avenida Getúlio Vargas, São João da Ponte, Minas Gerais, Brazil	1743.7
-14.881717°,-044.08388°	Rua Presidente JK, São João das Missões, Minas Gerais, Brazil	1746.0
-21.136648°,-044.262057°	Rua Marechal Deodoro, São João del-Rei, Minas Gerais, Brazil	1557.3
-18.720833°,-041.16°	Rua A, São João do Manteninha, Minas Gerais, Brazil	1455.4
-19.338889°,-042.157778°	unnamed road, São João do Oriente, Minas Gerais, Brazil	1442.1
-16.534712°,-044.528964°	Rua Inácio Ramos, São João do Pacuí, Minas Gerais, Brazil	1712.1
-15.314501°,-042.015412°	Rua Antônio Capuchino, São João do Paraíso, Minas Gerais, Brazil	1542.7
-18.547104°,-042.765487°	Rua Coronel Antônio Borges do Amaral, São João Evangelista, Minas Gerais, Brazil	1455.0
-21.539169°,-043.008708°	Rua Comendador José Soares, São João Nepomuceno, Minas Gerais, Brazil	1466.3
-20.04603°,-044.268477°	Rua Coronel Antônio Gabriel, São Joaquim de Bicas, Minas Gerais, Brazil	1638.2
-20.719219°,-046.312585°	Avenida Trinta de Julho, São José da Barra, Minas Gerais, Brazil	1630.4
-19.700833°,-043.955°	Rua José Gonçalves de Freitas, São José da Lapa, Minas Gerais, Brazil	1654.6
-18.333333°,-042.166667°	São José da Safira, Minas Gerais, Brazil	1445.6
-19.71°,-044.556944°	Rua Antonio José Duarte, São José da Varginha, Minas Gerais, Brazil	1654.2
-22.329283°,-045.526117°	Praça Nestor Daniel de Carvalho, São José do Alegre, Minas Gerais, Brazil	1594.2
-18.480863°,-041.387446°	Rua Vereador Leopoldino de Aguiar Cunha, São José do Divino, Minas Gerais, Brazil	1443.5
-19.925734°,-042.705243°	Rua Cristiano de Morais, São José do Goiabal, Minas Gerais, Brazil	1520.8
-18.276711°,-042.670986°	unnamed road, São José do Jacuri, Minas Gerais, Brazil	1456.7
-20.004036°,-041.746099°	Rua Márcio de Louback, São José do Mantimento, Minas Gerais, Brazil	1473.3
-22.116644°,-045.052726°	Rua Coronel José Justino, São Lourenço, Minas Gerais, Brazil	1604.6
-21.126944°,-046.615°	Rua José Fagundes Sobrinho, São Pedro da União, Minas Gerais, Brazil	1614.1
-18.364297°,-042.603445°	Rua Professora Ana Maria, São Pedro do Suaçuí, Minas Gerais, Brazil	1460.5
-20.165713°,-042.52354°	Rua Silva Bastos, São Pedro dos Ferros, Minas Gerais, Brazil	1517.8
-16.36889°,-046.06889°	Riachinho, Minas Gerais, Brazil	1737.6
-20.245°,-046.365833°	unnamed road, São Roque de Minas, Minas Gerais, Brazil	1595.5
-22.158889°,-045.753889°	Rua Camilo José de Lacerda, São Sebastião da Bela Vista, Minas Gerais, Brazil	1620.1
-19.497742°,-041.982221°	Avenida José Antônio Santana, São Sebastião do Anta, Minas Gerais, Brazil	1473.0
-18.083889°,-042.570833°	Rua Antônio Soares Pimenta, São Sebastião do Maranhão, Minas Gerais, Brazil	1459.7
-20.275584°,-045.003413°	Avenida Paulo VI, São Sebastião do Oeste, Minas Gerais, Brazil	1657.1
-20.917103°,-046.991783°	Rua Pimenta de Pádua, São Sebastião do Paraíso, Minas Gerais, Brazil	1662.1
-19.291944°,-043.173889°	Rua São Geraldo, São Sebastião do Rio Preto, Minas Gerais, Brazil	1496.5
-22.21901°,-044.977395°	Rua Padre Francisco de Freitas Carvalho, São Sebastião do Rio Verde, Minas Gerais, Brazil	1604.3
-21.721944°,-044.985°	Rua Capitão Pedro Jose Martins, São Tomé das Letras, Minas Gerais, Brazil	1617.0
-20.911413°,-044.508605°	Praça Ministro Gabriel Passos, São Tiago, Minas Gerais, Brazil	1587.8
-20.782904°,-047.098465°	Rua Dona Otília do Amaral, São Tomás de Aquino, Minas Gerais, Brazil	1655.9
-21.7°,-044.45°	Rua Antônio Liberato de Carvalho, São Vicente de Minas, Minas Gerais, Brazil	1555.1
-22.733333°,-045.75°	unnamed road, Sapucaí-Mirim, Minas Gerais, Brazil	1527.4
-18.782583°,-042.366843°	Rua Primeiro de Março, Sardoá, Minas Gerais, Brazil	1415.4
-20.035°,-044.15°	Rua João de Barro, Sarzedo, Minas Gerais, Brazil	1625.8
-20.10159°,-042.84171°	Rua Horácio José de Barros, Sem-Peixe, Minas Gerais, Brazil	1492.1
-21.8°,-042.933333°	unnamed road, Senador Cortes, Minas Gerais, Brazil	1419.9
-20.919545°,-043.100901°	MG-280, Senador Firmino, Minas Gerais, Brazil	1466.1
-22.166667°,-046.166667°	unnamed road, Senador José Bento, Minas Gerais, Brazil	1541.1
-17.945824°,-043.220912°	Rua dos Neves, Senador Modestino Gonçalves, Minas Gerais, Brazil	1529.8
